a,b,c
A,C,G
A,C,G
A,C,G
A,C,G
D,D,G
A,H,G
B,C,G
C,D,H
B,D,H
A,D,H
B,D,H
E,D,H
C,D,H
C,H,K
C,H,K
C,D,K
A,H,K
C,H,K
D,D,K
E,C,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,H,I
A,H,K
A,H,K
D,H,K
D,H,K
D,H,K
C,H,K
C,F,J
C,F,J
C,G,J
C,D,J
C,G,J
E,F,J
E,G,I
E,H,I
E,G,I
E,C,I
E,G,I
E,G,I
E,G,I
E,G,I
C,G,I
E,G,I
E,G,I
E,G,I
E,F,I
E,G,I
E,G,I
C,H,I
E,G,I
E,G,I
B,G,I
B,C,H
B,H,H
B,D,H
B,D,H
B,G,H
A,D,H
A,C,G
C,C,G
E,F,G
A,C,G
A,C,G
E,D,G
E,D,G
E,D,H
E,D,H
E,D,H
E,D,H
E,D,H
A,C,H
A,C,G
A,C,G
A,C,G
A,G,G
A,C,G
F,C,G
A,D,H
B,D,H
B,D,H
F,D,H
B,D,H
A,D,H
A,C,G
A,C,G
A,C,G
A,F,G
A,D,G
D,C,G
D,D,G
D,G,H
D,G,H
C,G,H
D,G,H
D,G,H
F,H,H
F,H,K
F,F,K
F,G,K
F,G,K
F,H,K
F,H,K
F,H,K
F,F,K
F,H,K
F,H,K
E,G,K
D,H,K
D,C,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,C,I
D,D,I
D,F,I
D,F,I
D,F,I
A,F,I
D,F,I
E,C,I
D,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,H,K
D,D,K
E,C,K
E,F,K
E,C,K
E,C,K
C,G,K
C,G,J
C,H,J
C,G,J
C,G,J
C,G,J
C,F,J
D,F,H
B,F,H
B,F,H
B,C,H
B,F,H
B,H,H
B,C,H
B,C,H
B,F,H
B,F,H
C,G,H
E,F,H
F,H,K
F,F,K
F,H,K
F,H,K
F,H,K
D,D,K
D,H,K
D,F,I
D,H,I
D,F,I
D,F,I
C,D,I
D,F,I
D,F,I
E,C,I
D,F,I
D,F,I
D,F,I
D,F,I
B,F,I
D,F,I
E,F,I
A,C,K
E,C,K
E,C,K
E,C,K
E,C,K
E,G,K
E,G,K
C,C,K
B,C,K
F,F,K
E,G,K
C,C,K
C,G,K
C,F,J
B,G,J
C,G,J
B,G,J
D,D,J
B,D,J
B,D,H
B,D,H
B,G,H
E,D,H
B,D,H
B,F,H
B,D,H
B,D,H
C,D,H
B,D,H
B,D,H
A,D,H
A,C,G
B,C,G
A,C,G
A,C,G
A,D,G
B,C,G
B,D,G
B,D,H
B,D,H
E,D,H
D,D,H
B,H,H
C,C,H
C,C,J
A,H,J
C,C,J
A,C,J
C,G,J
C,G,J
C,G,J
C,C,J
C,G,J
C,D,J
C,G,J
F,G,J
D,C,H
D,C,H
D,C,H
D,H,H
D,C,H
E,C,H
E,G,H
E,G,H
E,G,H
E,G,H
E,G,H
E,G,H
D,H,H
D,H,J
D,C,J
D,H,J
D,H,J
E,H,J
F,F,J
D,H,J
D,H,J
D,H,J
A,H,J
D,H,J
B,H,J
C,H,H
C,H,H
C,F,H
C,H,H
C,C,H
D,H,H
A,H,H
C,H,H
C,H,H
B,D,H
F,D,H
B,D,H
A,D,H
B,D,H
B,D,H
B,D,H
B,D,H
E,C,H
A,D,H
A,H,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
B,D,H
B,D,H
D,D,H
B,F,H
B,D,H
C,D,H
C,C,H
C,C,G
C,F,G
C,C,G
C,G,G
C,F,G
B,G,G
B,D,H
B,D,H
B,D,H
B,D,H
B,C,H
A,D,H
A,C,G
A,C,G
A,C,G
C,C,G
E,C,G
D,G,G
A,C,G
D,D,G
A,C,G
A,C,G
C,C,G
B,C,G
B,F,G
A,D,H
B,D,H
B,D,H
D,D,H
E,F,H
C,H,H
C,H,K
C,H,K
C,H,K
C,H,K
D,H,K
D,H,K
D,G,I
D,F,I
F,F,I
D,F,I
D,D,I
D,F,I
D,H,K
D,D,K
D,H,K
D,H,K
D,H,K
C,H,K
C,F,K
C,F,J
C,F,J
C,G,J
C,F,J
C,F,J
E,G,J
F,G,I
E,G,I
E,F,I
E,G,I
E,G,I
E,G,I
E,G,I
E,C,I
E,G,I
E,G,I
E,H,I
E,G,I
E,H,I
E,G,I
C,G,I
E,G,I
E,G,I
C,G,I
B,D,I
B,D,H
B,D,H
B,D,H
F,D,H
