a,b,c,d
A,C,H,H
A,C,G,H
E,C,G,H
F,C,I,H
D,G,G,H
A,C,G,H
B,C,H,H
B,D,H,H
E,H,H,I
B,D,H,I
B,F,J,I
B,D,H,I
D,D,H,I
C,H,K,I
C,H,K,J
C,G,K,J
C,H,K,J
B,H,I,J
D,H,H,J
D,F,K,J
D,F,I,J
F,F,I,J
D,F,H,K
C,F,K,K
D,F,I,K
D,H,I,K
D,H,K,K
C,H,K,K
D,H,H,K
D,H,K,K
D,F,K,K
C,H,K,K
C,F,G,K
C,F,J,I
C,G,J,I
C,F,J,I
C,H,J,I
E,F,J,I
D,G,I,I
B,G,I,J
E,G,H,J
E,C,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,F,I,J
E,H,I,J
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
C,G,I,K
E,G,G,K
E,G,K,K
A,F,I,K
B,G,I,K
B,D,I,K
A,D,H,K
B,D,H,I
B,H,H,I
B,F,H,I
B,D,H,I
A,D,H,I
A,C,G,I
A,C,G,H
A,C,H,H
A,C,G,H
D,C,G,H
B,C,G,H
B,D,G,H
C,C,H,L
E,D,H,L
E,F,K,L
E,D,H,L
E,D,H,L
A,C,H,L
A,C,J,L
A,C,G,H
B,F,G,H
D,C,H,H
A,C,G,H
B,C,G,H
B,D,H,H
B,D,H,I
B,D,H,I
B,H,H,I
B,D,H,I
A,D,H,I
A,C,I,I
A,C,G,H
C,C,G,H
A,C,G,H
A,C,G,H
D,H,G,H
D,G,G,H
D,G,H,I
D,G,H,I
D,G,H,I
B,H,H,I
D,G,H,I
F,H,H,I
F,H,K,I
F,H,K,J
F,H,K,J
F,H,K,J
F,H,G,J
F,H,K,J
F,H,K,J
F,H,K,J
E,H,G,J
F,H,K,J
F,H,K,J
D,H,K,J
F,F,I,J
D,F,G,K
D,F,J,K
D,F,H,K
D,F,I,K
D,C,I,K
D,F,I,K
D,F,I,K
D,F,I,K
C,F,I,K
D,C,I,K
D,F,I,K
D,F,J,K
D,F,I,K
D,F,I,K
E,C,I,K
E,C,K,K
E,C,K,K
E,C,K,K
A,C,K,K
E,C,K,K
E,C,K,K
E,F,K,K
E,C,J,K
E,C,K,K
A,C,K,K
E,C,G,K
C,C,K,K
C,G,K,K
C,G,G,L
C,G,J,L
C,G,J,L
C,G,J,L
C,G,J,L
B,F,J,L
B,F,H,H
B,C,H,H
B,F,K,H
B,F,H,H
B,D,H,H
B,F,K,L
B,F,H,L
C,F,H,H
B,H,H,H
B,F,G,H
B,H,H,H
F,F,H,L
F,H,K,L
F,F,K,J
F,H,K,J
F,H,K,J
D,H,K,J
D,D,K,J
D,D,K,J
D,F,I,K
D,F,I,K
D,H,I,K
D,F,G,K
A,F,I,K
D,F,I,K
A,F,I,K
D,G,I,K
D,F,I,K
D,F,I,K
A,F,I,K
F,F,I,K
D,C,I,K
D,G,H,K
F,G,I,K
E,C,K,K
E,C,K,K
E,C,K,K
E,C,J,K
D,C,K,K
E,C,K,K
B,F,K,K
B,C,K,K
E,H,K,K
A,C,K,K
E,C,K,K
C,C,K,K
C,F,K,K
C,G,H,L
C,G,J,L
C,G,G,L
C,D,H,L
F,G,H,L
B,D,J,L
E,D,H,L
F,D,H,I
B,H,H,I
B,D,H,I
C,D,H,I
B,D,H,I
B,D,H,I
B,G,H,I
B,G,H,I
