a,b,c,d,e
A,F,H,L,M
A,F,H,L,M
A,C,H,L,M
A,C,H,J,M
F,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,J,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
C,C,H,L,M
C,C,H,L,M
C,G,H,L,M
C,D,K,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,K,M
C,D,I,K,H
C,D,I,K,H
C,C,I,K,H
C,D,I,K,H
C,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,K,K,H
D,F,J,K,H
D,F,I,K,H
B,F,J,K,H
D,F,J,K,H
D,F,J,K,H
E,F,J,G,H
D,F,J,G,J
D,F,J,G,J
D,F,J,J,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,I,J
D,F,J,G,J
D,F,H,G,J
A,F,J,G,J
A,H,J,J,J
A,H,J,G,H
A,H,H,G,H
A,C,G,G,H
F,G,G,G,H
A,C,G,I,I
A,G,G,G,I
B,F,G,G,I
A,G,G,G,I
A,G,G,I,I
A,G,H,G,I
A,G,H,G,I
A,D,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
F,G,H,G,I
A,G,H,G,I
A,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
A,G,H,G,I
A,H,H,G,I
A,C,H,L,I
A,C,G,G,I
A,C,G,G,L
A,C,G,G,L
A,C,G,L,L
A,D,G,L,M
A,C,G,L,M
A,F,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,H,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,D,G,J,M
C,C,G,L,M
C,C,G,L,M
C,C,G,I,M
C,F,I,L,M
C,F,G,L,M
C,F,I,L,M
F,F,I,J,M
C,F,I,J,K
C,F,I,G,K
C,F,I,J,K
C,F,I,J,K
C,F,I,G,K
C,F,I,J,K
B,F,I,J,K
A,F,I,J,K
A,D,I,J,K
B,D,H,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,I,K
F,D,J,I,L
B,D,J,I,L
B,D,J,I,L
F,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,K,I,L
B,D,J,I,L
B,D,J,I,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,H,I,L
A,D,H,J,M
A,D,H,H,M
A,D,J,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,J,M
A,G,H,H,H
A,D,H,H,H
A,D,H,H,H
A,C,I,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,I
A,C,H,H,I
A,C,J,H,I
A,H,H,H,I
A,C,H,H,I
A,H,G,H,I
A,H,G,K,I
A,H,G,K,I
A,H,H,K,I
A,H,G,K,I
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,H,I,J,K
A,G,I,J,K
A,H,I,J,K
A,C,I,J,K
A,H,I,J,K
A,H,I,J,K
C,H,G,J,K
D,H,H,J,J
D,H,G,J,J
D,H,H,G,J
D,H,H,G,J
D,H,H,G,J
D,H,H,G,J
D,C,H,G,J
D,H,H,G,J
D,H,G,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
F,H,H,J,J
D,H,H,J,J
D,H,H,J,J
D,H,H,J,J
F,H,H,I,J
F,H,H,J,J
A,F,H,J,J
F,F,K,I,J
F,F,K,I,J
F,F,K,I,H
F,F,K,J,H
F,F,J,J,L
F,C,K,J,L
F,F,K,J,L
B,C,K,J,L
F,G,K,J,L
F,F,K,H,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
F,F,K,G,L
F,F,K,J,L
F,F,K,J,L
F,F,K,J,L
C,F,K,J,L
C,F,K,J,L
C,G,K,H,L
C,G,K,J,L
C,G,G,J,L
C,G,G,J,L
C,G,G,L,L
C,G,K,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
C,G,K,L,M
C,G,G,L,M
C,G,G,L,M
C,G,G,L,M
E,H,G,L,M
E,G,G,L,M
E,D,G,L,M
E,D,I,L,M
E,D,J,L,M
E,D,J,L,M
E,D,J,L,M
B,D,J,J,H
E,D,J,J,H
E,F,I,J,H
E,D,H,J,H
B,H,I,J,H
E,D,I,K,K
C,D,I,K,K
E,D,I,K,K
E,D,K,K,K
E,D,K,K,K
E,D,K,K,K
E,D,K,K,K
E,D,K,K,K
E,D,K,K,K
E,H,G,K,H
E,D,G,K,H
B,D,G,K,H
B,D,G,J,H
B,D,G,J,H
B,D,G,H,H
B,G,H,K,H
D,D,G,J,H
D,D,G,G,M
D,D,G,J,M
D,D,G,H,M
D,D,G,J,M
D,D,G,J,M
D,D,G,J,M
C,D,G,J,M
C,G,G,I,M
C,D,J,J,M
C,D,I,J,M
C,D,I,J,M
C,D,I,J,M
C,G,I,J,M
C,D,I,J,M
C,D,H,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,J,H
D,D,I,L,H
D,F,I,K,H
D,G,J,K,H
D,F,J,K,H
D,F,J,K,H
D,H,J,K,H
D,H,J,K,H
D,H,J,G,H
D,H,J,G,J
D,D,J,G,J
D,H,J,H,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
D,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,D,J,G,J
A,G,K,G,J
A,H,J,G,J
A,G,J,G,J
F,G,J,G,I
A,H,K,G,I
A,G,K,I,I
A,G,K,G,I
E,G,I,G,I
D,G,K,G,I
E,G,K,L,I
D,G,K,L,I
E,D,K,L,I
A,G,K,L,I
E,G,K,L,I
B,G,H,G,I
E,G,G,L,I
E,G,K,L,I
E,C,K,L,I
E,C,K,L,M
A,C,I,L,M
A,C,I,L,M
A,C,I,L,M
A,C,K,L,M
C,C,I,K,M
A,C,I,L,M
A,C,I,L,M
A,H,I,L,M
A,C,I,L,M
A,C,I,L,M
A,G,I,L,M
A,C,I,L,M
A,C,I,L,M
C,C,I,L,M
C,H,I,I,M
C,D,K,L,M
C,D,I,L,M
B,H,J,L,M
C,D,I,L,M
C,D,G,L,M
C,C,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
D,D,I,K,H
D,F,I,K,H
D,F,I,H,H
D,F,J,L,H
D,F,J,K,H
D,F,J,K,H
D,F,H,K,H
C,F,I,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
C,F,J,G,J
D,F,J,G,J
D,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,H,J,L,J
A,H,K,G,H
A,H,H,G,H
A,G,H,G,H
A,G,G,G,H
A,D,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
A,G,H,H,I
C,G,H,H,I
A,G,H,H,I
A,G,H,H,I
D,G,K,H,I
A,G,H,H,I
A,G,K,H,I
A,G,H,H,I
E,C,H,H,I
C,G,H,H,I
E,G,H,H,I
E,G,H,H,I
E,G,H,H,I
A,H,I,H,I
A,G,H,H,I
A,G,H,H,I
A,C,H,H,I
A,C,H,H,M
A,C,J,H,M
A,C,G,L,M
A,C,G,L,M
A,C,H,L,M
A,C,G,L,M
A,G,G,L,M
D,C,G,L,M
A,C,G,H,M
A,C,G,I,M
D,C,G,L,M
A,C,G,L,M
A,C,K,L,M
A,G,G,L,M
C,C,G,I,M
C,C,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,I,L,M
C,D,I,J,M
C,F,I,J,K
C,H,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
B,F,I,J,K
B,D,I,J,K
B,F,I,J,K
B,F,I,J,K
C,F,J,J,K
B,F,J,J,K
B,F,J,G,K
B,F,J,G,H
B,F,K,G,I
F,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,I,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,G,I
B,F,K,L,I
A,F,K,L,I
A,F,I,L,I
A,F,K,L,I
A,F,J,L,I
A,F,K,L,I
A,F,J,L,I
A,F,K,I,I
A,F,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,H,L,I
A,D,I,L,I
A,D,I,L,I
A,D,I,L,I
A,D,G,L,I
A,D,G,K,I
A,D,G,K,I
A,D,G,K,I
A,D,G,K,I
A,D,G,K,I
A,D,G,K,I
A,D,H,K,I
A,D,H,K,I
A,F,H,K,J
A,F,H,K,J
A,F,I,K,J
A,H,H,K,J
A,F,H,K,J
A,F,H,K,J
A,F,H,K,J
A,C,H,H,J
A,C,H,K,J
A,C,H,H,J
A,C,H,H,J
A,C,H,H,J
A,H,K,H,J
A,C,K,H,H
A,C,K,I,H
A,H,K,J,H
A,H,K,J,H
A,H,K,J,H
A,H,K,J,H
A,F,K,J,H
A,H,K,J,H
A,H,K,I,H
A,H,G,I,H
A,H,K,I,H
A,H,K,I,H
A,H,H,I,H
A,G,K,I,H
D,H,K,I,H
A,H,K,I,H
D,H,K,L,H
D,F,K,L,H
D,F,K,L,H
D,D,K,L,H
D,F,J,L,H
D,F,K,L,H
D,F,K,L,H
D,F,K,L,H
D,F,K,L,H
D,F,K,L,H
D,F,K,L,H
D,F,G,L,H
D,F,G,J,J
D,C,G,I,J
D,F,G,I,J
D,F,G,J,J
F,F,G,J,J
F,F,G,J,J
F,F,G,J,J
B,F,G,K,J
F,F,G,J,J
F,F,G,J,J
F,F,H,J,J
F,F,H,K,J
F,F,H,J,J
F,F,H,J,J
A,F,H,J,J
F,F,H,J,J
F,C,H,J,J
F,F,H,J,J
F,F,H,J,J
F,F,H,J,J
F,F,H,J,J
F,F,H,J,J
F,F,H,J,J
F,F,H,J,J
C,C,H,H,J
C,D,H,H,J
C,H,K,G,H
C,H,K,H,H
D,H,K,H,H
C,H,G,H,H
C,H,I,H,H
C,H,K,H,H
C,H,K,H,H
C,H,K,H,H
C,H,K,K,H
C,H,K,H,H
C,H,K,I,H
B,H,K,H,H
C,H,K,H,H
E,H,K,K,H
E,G,K,K,H
E,G,H,K,H
E,G,K,K,H
E,G,K,K,H
E,G,J,J,H
E,G,K,K,H
E,G,K,H,H
E,G,K,K,H
E,G,K,K,H
E,G,K,K,H
E,G,K,K,H
E,F,K,L,H
D,G,G,K,H
E,G,K,K,H
E,G,K,L,H
E,G,K,L,H
E,H,K,L,H
F,G,K,L,H
E,G,K,K,H
E,H,K,L,H
E,G,K,L,H
B,F,K,L,H
B,G,K,L,H
B,C,K,L,H
B,G,K,L,H
B,G,K,L,H
D,G,K,L,H
D,G,K,L,H
D,G,K,L,H
E,G,K,L,H
A,G,K,G,H
C,G,K,G,H
D,G,K,G,H
D,G,K,G,H
C,G,K,J,H
C,D,K,G,H
C,D,K,G,H
C,H,I,G,H
C,D,I,G,I
C,D,I,G,I
C,D,I,H,I
E,D,I,G,I
C,D,I,G,I
C,D,I,K,H
C,D,I,K,H
C,G,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,J,K,H
D,F,H,K,H
D,F,K,K,H
D,F,J,K,H
D,F,J,K,H
D,F,K,G,H
D,F,J,G,J
B,H,J,K,J
B,F,J,G,J
