a,b,c
A,D,G
A,H,G
A,C,G
A,F,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
E,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,G,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,F,G
A,C,G
A,C,G
A,C,G
A,C,G
C,C,G
D,C,G
A,C,G
A,H,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
B,C,G
B,C,G
B,C,G
B,C,G
B,F,G
B,D,G
B,D,G
B,F,G
B,D,G
B,D,H
B,D,H
B,D,H
B,C,H
B,D,H
B,G,H
B,D,H
D,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,C,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
E,C,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
E,D,H
B,D,H
B,D,H
B,D,H
C,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
C,D,H
C,H,H
C,D,H
C,C,H
C,F,H
C,H,H
C,H,H
C,H,H
C,H,H
C,H,H
C,H,K
C,H,K
C,H,K
C,H,K
D,H,K
C,H,K
C,H,K
C,H,K
A,F,K
C,H,K
D,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,C,K
C,H,K
C,H,K
C,H,K
C,H,K
C,C,K
D,H,K
C,H,K
C,F,K
C,F,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,F,K
C,H,K
C,H,K
C,G,K
D,H,K
D,H,K
D,H,K
D,H,K
D,G,K
D,F,K
D,F,K
D,C,K
D,F,K
D,F,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
E,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
C,F,I
D,F,I
D,F,I
D,F,I
D,D,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
B,D,I
D,F,I
D,F,I
D,F,I
C,F,I
D,G,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,D,I
D,H,I
D,H,I
D,H,I
D,C,I
E,H,I
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,D,K
D,H,K
D,C,K
D,H,K
D,H,K
D,H,K
D,H,K
D,F,K
D,H,K
D,F,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,G,K
D,D,K
D,H,K
D,G,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,G,K
C,H,K
C,D,K
C,H,K
D,H,K
C,H,K
C,F,K
D,F,K
C,F,K
C,F,K
C,F,K
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,G,J
B,G,J
C,F,J
C,G,J
C,F,J
C,F,J
C,F,J
B,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,C,J
B,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
E,F,J
E,F,J
E,F,J
E,F,J
E,F,J
E,G,J
E,G,J
D,F,J
E,G,J
E,G,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,C,I
D,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,H,I
E,G,I
E,C,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
B,G,I
E,G,I
E,F,I
E,G,I
E,G,I
E,G,I
E,H,I
