a,b,c,d
A,C,G,H
A,D,I,H
F,H,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
C,C,G,H
A,C,G,H
C,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
D,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,I,H
A,C,G,H
A,C,J,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
D,C,G,H
A,H,G,H
A,C,H,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,C,G,H
A,F,G,H
A,C,G,H
A,C,K,H
B,C,G,H
B,C,G,H
F,C,G,H
E,C,G,H
B,C,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,D,G,H
B,C,H,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,H
B,D,H,I
B,D,H,I
A,D,H,I
B,D,J,I
E,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
E,D,H,I
B,D,H,I
B,D,H,I
C,D,H,I
B,D,H,I
B,F,H,I
B,D,H,I
B,D,H,I
B,D,K,I
B,D,H,I
B,H,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
B,D,H,I
D,D,H,I
B,D,H,I
B,D,J,I
C,D,H,I
C,D,H,I
C,D,H,I
C,D,H,I
C,D,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,H,I
C,H,K,I
C,H,K,I
C,H,K,I
B,H,K,I
C,H,K,I
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
A,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,D,K,J
C,H,K,J
C,H,G,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
A,H,K,J
C,H,K,J
D,H,K,J
C,H,K,J
C,H,J,J
C,H,K,J
C,G,G,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
C,H,K,J
D,F,K,J
D,H,K,J
F,H,K,J
D,H,K,J
D,H,K,J
D,F,K,J
D,F,K,J
D,F,G,J
D,F,K,J
D,F,K,J
D,F,I,J
D,C,G,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,G,J
D,F,I,J
D,F,I,J
F,F,I,J
D,C,I,J
D,F,I,J
D,F,I,J
D,G,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,F,I,J
D,H,I,J
D,F,I,J
D,F,I,J
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,H,K
D,H,I,K
D,F,I,K
E,F,I,K
D,H,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
B,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
D,F,I,K
F,F,I,K
D,F,I,K
C,F,H,K
D,F,I,K
D,F,I,K
D,F,I,K
D,H,I,K
D,H,I,K
B,H,I,K
D,H,I,K
D,H,I,K
D,H,K,K
E,H,K,K
D,H,K,K
D,H,K,K
C,D,J,K
D,H,K,K
F,H,K,K
D,H,K,K
D,H,K,K
D,C,K,K
D,H,K,K
B,H,K,K
D,C,K,K
D,H,K,K
D,D,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,J,K
D,H,I,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,F,K,K
D,H,K,K
D,F,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,F,K,K
C,H,K,K
D,H,K,K
D,H,K,K
D,H,K,K
D,H,G,K
D,H,K,K
D,H,K,K
C,H,K,K
B,H,K,K
C,H,K,K
C,D,K,K
C,H,K,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,K,K
C,F,J,K
C,F,J,K
C,F,J,K
C,F,J,K
C,F,J,K
C,F,J,I
C,F,J,I
B,F,J,I
C,F,J,I
C,F,J,I
C,F,H,I
C,D,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,K,I
C,F,J,I
A,F,J,I
C,F,J,I
C,F,J,I
B,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
E,F,J,I
F,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,J,I
C,F,G,I
C,F,G,I
C,F,J,I
C,F,J,I
C,F,J,I
E,F,H,I
E,F,J,I
C,F,J,I
E,F,J,I
E,F,J,I
E,G,J,I
E,G,I,I
E,G,J,I
E,G,J,I
E,G,J,I
E,G,J,I
E,F,I,I
F,G,I,I
E,D,I,I
E,G,I,I
E,G,I,J
E,G,I,J
E,G,I,J
E,F,G,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
D,G,I,J
E,H,I,J
E,G,I,J
A,F,I,J
E,G,I,J
F,G,K,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,G,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,H,J
E,G,I,J
E,G,I,J
E,F,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,G,J
E,G,I,J
E,D,I,J
E,G,I,J
E,G,J,J
E,G,H,J
E,G,I,J
E,G,I,J
E,G,I,J
B,G,I,J
E,G,I,J
A,G,I,J
E,G,I,J
E,G,I,J
E,G,G,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,I,J
F,G,I,J
E,G,I,J
E,G,H,J
E,G,I,J
E,G,I,J
E,G,I,J
E,G,G,J
E,D,G,J
E,G,I,J
E,G,I,J
D,G,I,J
E,G,I,J
E,G,I,J
B,G,I,J
E,G,I,K
E,G,I,K
F,G,I,K
B,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,C,I,K
D,H,I,K
E,G,I,K
E,G,K,K
E,C,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
E,G,I,K
B,G,I,K
E,G,I,K
E,F,I,K
