a,b,c,(order)
A->B,C->D,G->H,(a;b;c)
B->C,D->H,H->K,(a;b;c)
C->D,H->F,K->I,(a;b;c)
D->D,F->H,I->K,(a;b;c)
D->C,H->F,K->J,(a;b;c)
C->E,F->G,J->I,(a;b;c)
E->B,G->D,I->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->E,C->D,G->H,(a;b;c)
E->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->D,C->G,G->H,(a;b;c)
D->F,G->H,H->K,(a;b;c)
F->D,H->F,K->I,(a;b;c)
D->?,F->?,I->I,(c;a;b)
?->E,?->C,I->K,(a;b;c)
E->?,C->?,K->K,(c;a;b)
?->?,?->?,K->J,(a;b;c)
?->B,?->F,J->H,(a;b;c)
B->?,F->?,H->H,(c;a;b)
?->?,?->?,H->?,(a;b;c)
?->D,?->F,?->I,(a;b;c)
D->E,F->C,I->K,(a;b;c)
E->C,C->G,K->J,(a;b;c)
C->B,G->D,J->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->C,H->J,(a;b;c)
C->C,C->G,J->J,(a;c;b)
C->D,G->C,J->H,(a;b;c)
D->E,C->G,H->H,(c;a;b)
E->D,G->H,H->J,(a;b;c)
D->C,H->H,J->H,(b;a;c)
C->?,H->?,H->H,(c;a;b)
?->B,?->D,H->H,(c;a;b)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->C,H->G,(a;b;c)
C->B,C->D,G->H,(a;b;c)
B->A,D->C,H->?,(a;b;c)
A->A,C->C,?->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->H,H->K,(a;b;c)
C->D,H->F,K->I,(a;b;c)
D->D,F->H,I->K,(a;b;c)
D->C,H->F,K->J,(a;b;c)
C->E,F->G,J->I,(a;b;c)
E->B,G->D,I->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->E,C->D,G->H,(a;b;c)
E->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->D,C->G,G->H,(a;b;c)
D->F,G->H,H->K,(a;b;c)
F->D,H->F,K->I,(a;b;c)
D->?,F->?,I->?,(a;b;c)
?->E,?->C,?->K,(a;b;c)
E->?,C->?,K->K,(c;a;b)
?->?,?->?,K->J,(a;b;c)
?->B,?->F,J->H,(a;b;c)
B->?,F->?,H->H,(c;a;b)
?->?,?->?,H->?,(a;b;c)
?->D,?->F,?->I,(a;b;c)
D->E,F->C,I->?,(a;b;c)
E->E,C->C,?->K,(a;b;c)
E->C,C->G,K->J,(a;b;c)
C->B,G->D,J->H,(a;b;c)
B->A,D->C,H->?,(a;b;c)
A->B,C->D,?->H,(a;b;c)
B->C,D->C,H->J,(a;b;c)
C->C,C->G,J->J,(a;c;b)
C->D,G->C,J->H,(a;b;c)
D->E,C->G,H->H,(c;a;b)
E->D,G->H,H->J,(a;b;c)
D->C,H->H,J->H,(b;a;c)
C->?,H->?,H->H,(c;a;b)
?->B,?->D,H->H,(c;a;b)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->C,H->G,(a;b;c)
C->B,C->D,G->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->H,H->K,(a;b;c)
C->D,H->F,K->I,(a;b;c)
D->D,F->H,I->K,(a;b;c)
D->C,H->F,K->J,(a;b;c)
C->E,F->G,J->I,(a;b;c)
E->B,G->D,I->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->E,C->D,G->H,(a;b;c)
E->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->D,C->G,G->H,(a;b;c)
D->F,G->H,H->K,(a;b;c)
F->D,H->F,K->I,(a;b;c)
D->?,F->?,I->?,(a;b;c)
?->E,?->C,?->K,(a;b;c)
E->?,C->?,K->K,(c;a;b)
?->?,?->?,K->J,(a;b;c)
?->B,?->F,J->H,(a;b;c)
B->?,F->?,H->H,(c;a;b)
?->?,?->?,H->?,(a;b;c)
?->D,?->F,?->I,(a;b;c)
D->E,F->C,I->K,(a;b;c)
E->C,C->G,K->J,(a;b;c)
C->B,G->D,J->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->C,H->J,(a;b;c)
C->C,C->G,J->J,(a;c;b)
C->D,G->C,J->H,(a;b;c)
D->E,C->G,H->H,(c;a;b)
E->D,G->H,H->J,(a;b;c)
D->C,H->H,J->H,(b;a;c)
C->?,H->?,H->H,(c;a;b)
?->B,?->D,H->H,(c;a;b)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->C,H->G,(a;b;c)
C->B,C->D,G->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->C,D->H,H->K,(a;b;c)
C->D,H->F,K->I,(a;b;c)
D->D,F->H,I->K,(a;b;c)
D->C,H->F,K->J,(a;b;c)
C->E,F->G,J->I,(a;b;c)
E->B,G->D,I->H,(a;b;c)
B->A,D->C,H->?,(a;b;c)
A->E,C->D,?->H,(a;b;c)
E->A,D->C,H->G,(a;b;c)
A->B,C->D,G->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->D,C->G,G->H,(a;b;c)
D->F,G->H,H->K,(a;b;c)
F->D,H->F,K->I,(a;b;c)
D->?,F->?,I->?,(a;b;c)
?->E,?->C,?->K,(a;b;c)
E->?,C->?,K->?,(a;b;c)
?->?,?->?,?->J,(a;b;c)
?->B,?->F,J->H,(a;b;c)
B->?,F->?,H->?,(a;b;c)
?->D,?->F,?->I,(a;b;c)
D->E,F->C,I->K,(a;b;c)
E->C,C->G,K->J,(a;b;c)
C->B,G->D,J->H,(a;b;c)
B->A,D->C,H->G,(a;b;c)
A->B,C->D,G->?,(a;b;c)
B->C,D->C,?->J,(a;b;c)
C->C,C->G,J->J,(a;c;b)
C->D,G->C,J->H,(a;b;c)
D->E,C->G,H->H,(c;a;b)
E->D,G->H,H->J,(a;b;c)
D->C,H->H,J->H,(b;a;c)
C->?,H->?,H->H,(c;a;b)
?->B,?->D,H->H,(c;a;b)
B->A,D->C,H->G,(a;b;c)
