a,b,c
B,C,J
C,H,H
B,F,I
C,C,K
F,H,J
A,D,H
F,D,K
C,D,G
B,G,J
D,H,H
D,F,I
E,H,I
C,D,I
C,C,G
C,G,J
E,F,I
F,D,G
B,H,G
E,C,K
E,F,H
E,F,K
E,F,I
F,C,G
D,G,I
F,D,G
E,F,K
D,F,J
B,G,J
E,D,G
F,H,I
E,H,J
D,C,G
B,F,H
A,D,K
D,C,K
B,D,I
B,G,K
C,H,K
B,D,H
E,D,J
C,H,J
C,H,G
F,G,H
F,G,I
B,D,J
E,G,K
C,C,G
E,H,I
E,F,H
D,D,K
A,D,G
A,C,G
D,C,I
E,D,H
A,D,H
F,C,K
B,G,I
B,D,K
A,F,G
C,F,H
A,H,G
E,H,J
E,H,H
E,H,K
C,H,K
D,H,H
F,F,K
A,F,G
E,D,H
C,G,J
D,F,K
F,C,J
E,H,I
A,G,J
A,D,J
A,F,G
E,G,I
E,G,G
B,H,G
D,G,H
A,D,G
A,G,H
F,C,G
A,G,K
C,G,I
F,G,J
D,F,H
A,D,I
E,D,H
C,C,H
B,G,G
B,C,K
D,D,H
E,D,J
B,F,H
C,C,G
E,G,G
D,D,H
E,C,I
D,C,K
A,C,J
E,G,H
D,D,H
D,C,H
B,F,G
B,G,J
B,C,G
D,G,I
B,D,I
F,G,H
C,F,J
C,H,K
E,D,J
E,C,H
C,H,G
E,G,G
D,F,I
A,G,J
B,C,H
B,F,I
D,F,G
F,H,G
C,F,H
A,F,H
E,H,J
A,D,J
C,H,H
E,H,I
F,G,K
B,G,I
D,F,H
B,F,J
E,C,J
B,D,G
C,F,K
A,C,J
F,D,G
B,H,J
D,G,J
A,F,G
F,F,G
E,C,J
E,D,J
B,D,I
C,H,H
A,F,J
B,G,J
D,C,K
C,G,J
F,F,H
A,C,I
B,F,K
B,D,K
B,H,H
B,H,G
B,H,J
B,D,I
B,C,K
A,D,G
B,G,G
E,D,I
E,H,J
A,G,I
D,C,H
D,H,J
B,G,G
A,G,I
D,D,H
C,D,H
E,C,K
A,G,J
D,F,K
A,G,H
D,F,H
A,F,J
F,G,G
F,D,I
B,H,J
D,F,G
C,C,J
D,D,G
D,G,G
C,D,G
F,C,K
C,G,J
E,C,K
E,H,H
F,F,G
D,D,H
A,D,I
E,H,H
A,F,I
D,C,I
C,H,I
B,C,J
F,F,K
F,D,K
B,F,I
E,F,G
E,F,J
F,G,I
D,F,G
B,G,I
F,D,I
B,D,I
D,F,K
E,H,G
C,F,J
F,C,I
C,F,G
A,D,K
A,C,I
F,H,H
F,D,H
A,G,G
A,F,I
F,C,J
D,C,I
F,H,I
C,G,K
B,C,G
E,D,I
C,C,H
B,D,G
A,H,K
E,G,J
E,F,H
A,C,G
A,F,G
B,H,K
D,H,K
F,G,K
B,F,J
F,F,I
E,G,G
E,G,J
B,G,H
C,D,G
E,C,K
F,D,G
A,C,G
C,H,K
C,H,K
C,H,J
A,F,J
F,C,I
C,C,G
F,C,J
A,D,I
B,D,J
D,G,H
B,D,J
F,C,H
D,C,G
E,F,H
C,H,H
D,G,G
B,F,K
C,G,I
F,F,J
A,D,J
C,F,G
D,D,K
D,D,G
F,D,K
D,G,J
A,H,G
B,D,I
F,H,K
A,C,I
F,H,J
C,D,H
D,G,H
B,F,G
F,C,H
F,G,J
D,C,H
F,C,K
A,C,H
F,H,H
A,H,H
D,D,I
F,C,J
C,H,H
C,G,K
B,C,K
A,G,H
F,H,J
D,G,G
F,D,I
A,H,I
C,C,J
F,F,I
F,H,J
B,F,G
A,C,G
F,F,H
D,F,H
D,G,I
B,D,G
C,F,J
A,C,G
C,F,G
A,D,K
A,G,G
E,D,G
D,C,G
F,C,K
C,F,I
C,C,H
E,H,H
F,H,G
A,F,K
B,H,G
E,H,G
D,F,H
C,D,G
B,G,G
E,H,H
E,G,H
A,C,H
C,G,K
E,G,J
A,C,H
D,D,I
C,G,J
F,H,K
F,C,I
F,F,K
D,C,K
D,F,I
F,F,I
E,C,I
D,H,H
D,G,K
C,F,H
B,D,I
A,G,J
C,D,H
A,H,I
C,G,K
C,G,I
E,H,I
B,D,K
C,D,K
C,G,J
A,C,K
A,F,I
F,D,H
F,H,J
D,F,K
A,G,J
C,C,I
A,H,I
B,H,H
F,D,K
A,C,G
B,D,H
C,H,K
F,C,J
B,C,I
F,F,I
C,C,I
B,D,G
D,H,H
A,F,K
A,G,I
A,D,K
A,D,G
E,G,G
B,C,K
F,D,H
F,F,K
D,H,G
B,F,H
A,H,H
F,F,G
C,C,I
F,H,I
D,F,K
F,C,H
C,C,G
A,F,J
F,F,I
C,F,I
A,D,H
B,D,G
A,C,H
C,F,I
A,G,I
D,G,K
A,G,J
E,H,J
D,C,G
F,G,K
F,D,I
C,G,J
