a,b,c
A,C,G
A,C,G
F,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
D,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,G,G
A,C,G
A,C,G
F,C,G
A,C,G
F,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,G,G
A,C,G
A,C,G
A,C,G
D,C,I
A,C,G
A,C,G
A,C,G
A,C,G
A,C,K
A,C,G
F,C,G
A,C,G
A,C,G
D,C,G
B,C,J
A,C,G
B,C,H
D,C,G
B,C,G
B,C,G
B,C,G
B,D,G
B,H,G
B,D,G
B,H,G
B,D,G
B,G,H
B,D,H
B,D,H
B,D,H
B,D,H
D,D,J
B,D,H
B,D,H
B,G,H
B,D,H
D,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
C,D,H
B,D,H
B,D,H
B,D,H
A,D,H
B,D,H
B,D,H
B,H,K
E,D,H
B,D,H
B,D,H
B,G,H
B,C,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,H,H
B,D,H
B,C,H
B,D,H
C,D,H
C,D,H
C,D,H
C,D,H
C,D,H
C,H,H
C,H,H
C,H,H
A,H,I
C,H,H
C,H,K
C,H,K
C,H,K
C,H,K
C,H,G
C,H,K
C,H,K
C,H,K
A,C,K
C,H,K
C,H,H
C,H,K
D,H,K
C,H,K
C,G,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,C,K
C,H,K
C,H,K
C,H,G
C,H,K
B,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,K
C,H,H
C,H,K
C,H,J
C,H,K
C,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,F,K
D,F,K
D,F,K
D,F,K
D,F,K
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,C,I
D,H,I
B,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
A,F,I
D,F,I
F,F,K
D,F,I
D,F,I
E,G,I
D,F,I
D,F,I
D,F,I
D,F,G
D,F,I
D,H,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,F,I
D,D,G
D,F,I
D,H,I
D,H,I
D,C,I
D,H,I
D,D,I
D,C,K
D,D,K
D,H,K
B,H,K
D,H,K
D,H,K
C,H,K
D,G,K
D,H,H
D,H,K
B,H,K
D,H,K
D,H,K
D,H,K
D,H,K
A,C,K
D,H,K
D,H,K
D,H,J
A,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
D,H,K
B,H,G
D,H,K
F,H,K
D,H,K
C,H,K
C,H,K
E,H,K
C,H,K
C,H,G
E,F,K
C,F,K
E,F,K
C,F,K
C,F,K
C,F,J
C,F,J
E,G,J
C,F,J
C,F,K
C,F,J
C,F,K
C,F,J
C,D,J
C,F,J
C,F,I
C,C,J
C,F,H
C,F,J
C,F,J
C,H,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,K
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
D,F,J
C,F,J
E,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,J
C,F,I
C,F,J
C,F,J
E,F,J
E,F,J
E,F,J
E,F,J
E,F,G
E,G,J
E,G,J
E,G,G
E,G,J
E,G,J
E,G,I
E,G,I
C,G,I
E,F,I
E,F,I
E,D,I
E,G,I
B,G,I
E,G,I
E,G,I
E,G,I
E,G,I
A,G,I
E,H,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,K
E,G,I
E,G,I
E,F,I
A,G,I
E,G,I
E,F,I
E,G,I
E,G,I
E,G,K
E,D,I
E,G,I
B,G,I
E,G,I
E,G,J
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,H,I
C,G,K
E,G,I
E,G,I
E,G,I
E,H,I
E,G,I
A,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,G,I
E,D,I
E,G,I
C,G,I
E,G,I
