a,b,c
E,H,I
A,D,I
A,D,H
A,H,K
A,D,I
A,C,I
B,C,I
A,C,I
A,C,G
A,C,I
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,H,G
A,H,G
A,C,G
A,C,G
A,H,G
A,C,J
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
B,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
A,C,G
D,C,I
A,C,G
A,C,H
A,C,G
B,C,G
D,C,H
A,C,G
A,C,G
A,C,G
A,C,G
A,H,G
A,G,G
A,C,G
A,G,K
A,C,G
B,C,G
B,C,G
B,C,G
B,C,G
B,C,G
B,D,G
B,D,G
B,D,I
B,D,G
C,D,G
B,D,G
B,D,H
B,H,H
B,D,H
B,D,H
B,D,H
B,D,K
B,D,H
B,D,J
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,F,H
B,D,H
B,D,H
B,D,H
B,D,K
B,D,H
B,D,H
B,D,H
B,D,H
B,C,H
B,D,G
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
B,D,H
A,D,H
B,D,H
B,D,H
B,D,H
B,D,J
B,D,H
B,D,H
C,D,H
F,D,H
C,D,I
C,D,H
C,D,J
C,F,H
C,F,H
C,D,H
C,G,H
D,H,H
C,F,I
C,F,I
C,H,I
B,F,G
C,D,I
C,G,I
C,C,I
B,G,G
C,F,I
C,C,I
C,C,K
C,F,I
C,C,I
C,F,H
C,D,I
B,G,I
C,H,I
F,G,I
D,C,H
C,C,I
C,F,I
C,F,I
C,H,I
C,H,I
C,G,G
C,H,I
C,C,I
C,F,I
C,F,H
C,G,I
C,G,H
C,H,I
A,D,I
C,D,I
C,D,I
C,D,I
C,C,I
C,F,I
C,G,I
E,H,G
D,C,G
D,F,K
D,G,I
D,G,I
B,F,G
D,G,I
D,C,I
C,C,I
D,C,I
D,G,I
D,G,K
B,G,J
D,C,J
D,D,J
D,D,J
D,D,J
D,C,J
D,H,J
D,F,J
D,C,J
B,C,J
D,D,J
D,C,J
D,H,J
F,C,J
D,C,J
D,F,J
