a,b,c,d,e
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,F,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
A,C,H,L,M
C,C,H,L,M
C,C,H,L,M
C,C,H,L,M
C,C,H,L,M
C,C,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,H,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,L,M
C,D,I,K,M
C,D,I,K,M
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
C,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,D,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,I,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,K,H
D,F,J,G,H
D,F,J,G,H
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
D,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,F,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,G,J
A,H,J,G,H
A,H,J,G,H
A,H,J,G,H
A,H,G,G,H
A,H,G,G,H
A,H,G,G,H
A,H,G,G,H
A,H,G,G,H
A,H,G,G,H
A,H,G,G,H
A,G,G,G,H
A,G,G,G,H
A,G,G,G,H
A,G,G,G,H
A,G,G,G,H
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,G,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
E,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,G,H,G,I
A,C,H,G,I
A,C,H,G,I
A,C,H,G,I
A,C,H,G,I
A,C,H,G,I
A,C,H,G,L
A,C,H,G,L
A,C,H,G,L
A,C,G,G,L
A,C,G,G,L
A,C,G,G,L
A,C,G,G,L
A,C,G,G,L
A,C,G,G,L
A,C,G,L,L
A,C,G,L,L
A,C,G,L,L
A,C,G,L,L
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
A,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,C,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,G,L,M
C,F,I,L,M
C,F,I,L,M
C,F,I,L,M
C,F,I,L,M
C,F,I,L,M
C,F,I,L,M
C,F,I,J,M
C,F,I,J,M
C,F,I,J,M
C,F,I,J,M
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
C,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,F,I,J,K
B,D,I,J,K
B,D,I,J,K
B,D,I,J,K
B,D,I,J,K
B,D,I,J,K
B,D,I,J,K
B,D,I,J,K
B,D,I,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,J,K
B,D,J,I,K
B,D,J,I,K
B,D,J,I,K
B,D,J,I,K
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,I,L
B,D,J,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
B,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,K,J,L
A,D,H,J,L
A,D,H,J,L
A,D,H,J,L
A,D,H,J,M
A,D,H,J,M
A,D,H,J,M
A,D,H,J,M
A,D,H,J,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,M
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,D,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,H
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,H,H,I
A,C,G,H,I
A,H,G,H,I
A,H,G,H,I
A,H,G,H,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,I
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,G,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
A,H,I,K,K
