attr1,attr2
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,e
b,f
b,f
b,f
b,f
b,f
b,g
b,f
b,f
b,f
b,f
a,g
b,f
b,f
b,e
a,f
b,f
b,f
b,f
b,f
b,f
b,f
c,f
b,f
b,f
b,h
b,h
b,f
b,f
b,f
a,f
a,e
a,f
a,g
a,f
a,f
a,f
a,f
a,f
a,f
a,g
c,g
b,f
b,f
b,f
c,g
c,g
c,f
d,f
c,f
c,f
b,e
c,e
c,e
b,e
c,e
c,g
b,e
c,g
c,g
a,g
c,g
c,g
c,g
c,f
c,g
c,g
c,g
b,e
c,g
c,e
a,h
c,g
b,g
c,g
c,g
a,g
d,g
b,g
c,g
c,e
c,g
d,g
b,g
c,g
c,g
c,e
b,g
c,h
c,g
c,g
d,g
d,h
b,g
d,h
d,g
d,h
d,e
d,g
d,g
d,g
b,h
d,e
d,h
c,h
d,g
d,h
d,h
d,h
b,g
d,g
d,g
b,h
d,e
d,h
d,e
d,h
d,h
b,h
d,h
d,f
c,f
d,h
d,h
b,f
a,h
c,h
b,h
d,g
d,h
d,h
d,e
d,e
d,h
c,h
d,h
c,h
a,h
d,h
a,h
d,f
d,h
b,f
d,h
c,h
b,h
d,g
d,h
d,f
d,h
d,g
d,h
c,g
d,h
d,g
d,g
d,h
d,h
b,h
d,f
d,h
d,h
a,h
d,h
d,e
d,h
a,e
d,f
d,g
d,g
b,h
d,h
d,h
d,h
d,h
a,h
d,h
d,g
d,h
d,h
b,h
d,g
d,f
d,h
d,h
d,h
d,f
a,h
d,h
d,e
d,h
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
a,e
